	gene_symbol	definition
310	pfdA	Prefoldin subunit alpha (GimC subunit alpha)
311	pfdA1	Prefoldin subunit alpha 1 (GimC subunit alpha 1)
312	pfdA2	Prefoldin subunit alpha 2 (GimC subunit alpha 2)
313	pfdB	Prefoldin subunit beta (GimC subunit beta)
316	plp	Parvulin-like PPIase (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase plp) (Rotamase plp)
317	pmfD	Chaperone protein PmfD
320	ppiA	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Rotamase A)
321	ppiB	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Rotamase B)
322	ppiD	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (Rotamase D)
324	prcA	Calcium-dependent protease (EC 3.4.21.-) (Trypsin)
325	prcA1	Proteasome subunit alpha 1 (EC 3.4.25.1) (20S proteasome alpha subunit 1) (Proteasome core protein PrcA 1)
326	prcA2	Proteasome subunit alpha 2 (EC 3.4.25.1) (20S proteasome alpha subunit 2) (Proteasome core protein PrcA 2)
327	prcB	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PrcB)
328	prcB1	Proteasome subunit beta 1 (EC 3.4.25.1) (20S proteasome beta subunit 1) (Proteasome core protein PrcB 1)
329	prcB2	Proteasome subunit beta 2 (EC 3.4.25.1) (20S proteasome beta subunit 2) (Proteasome core protein PrcB 2)
332	prmA	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)
333	prmG	Probable chaperonin-like protein PrmG
334	prsA	Foldase protein PrsA (EC 5.2.1.8)
335	prsA1	Foldase protein PrsA 1 (EC 5.2.1.8)
336	prsA2	Foldase protein PrsA 2 (EC 5.2.1.8)
337	prsA3	Foldase protein PrsA 3 (EC 5.2.1.8)
338	prsA4	Foldase protein PrsA 4 (EC 5.2.1.8)
340	prsW	Protease PrsW (EC 3.4.-.-) (Protease responsible for activating sigma-W) (Site-1 protease PrsW) (S1P protease PrsW)
342	psmA	Proteasome subunit alpha (EC 3.4.25.1) (20S proteasome alpha subunit) (Proteasome core protein PsmA)
345	psmB	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)
346	psmB1	Proteasome subunit beta 1 (EC 3.4.25.1) (20S proteasome beta subunit 1) (Proteasome core protein PsmB 1)
347	psmB2	Proteasome subunit beta 2 (EC 3.4.25.1) (20S proteasome beta subunit 2) (Proteasome core protein PsmB 2)
348	pup	Prokaryotic ubiquitin-like protein Pup (Bacterial ubiquitin-like modifier)
349	pup1	Prokaryotic ubiquitin-like protein Pup 1 (Bacterial ubiquitin-like modifier 1)
350	pup2	Prokaryotic ubiquitin-like protein Pup 2 (Bacterial ubiquitin-like modifier 2)
359	rimM	Ribosome maturation factor RimM
360	rimM1	Ribosome maturation factor RimM
361	rimM2	Ribosome maturation factor RimM
362	rimO	Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)
363	rimP	Ribosome maturation factor RimP
364	rlmE	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.166) (23S rRNA Um2552 methyltransferase) (rRNA (uridine-2'-O-)-methyltransferase)
365	rlmH	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)
366	rluD	Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23) (23S rRNA pseudouridine(1911/1915/1917) synthase) (rRNA pseudouridylate synthase D) (rRNA-uridine isomerase D)
