	species_name	species_abbreviation	taxonomy	phylum	class
47	Chlamydomonas reinhardtii	creinhardtii	eukaryotes	Chlorophyta	Chlorophyceae
48	Medicago truncatula	mtruncatula	eukaryotes	Streptophyta	Magnoliopsida
49	Solanum tuberosum	stuberosum	eukaryotes	Streptophyta	Magnoliopsida
50	Oryza sativa Japonica Group	osativa	eukaryotes	Streptophyta	Liliopsida
51	Solanum lycopersicum	slycopersicum	eukaryotes	Streptophyta	Magnoliopsida
52	Capsicum annuum	cannuum	eukaryotes	Streptophyta	Magnoliopsida
53	Cucumis sativus	csativus	eukaryotes	Streptophyta	Magnoliopsida
54	Brassica napus	bnapus	eukaryotes	Streptophyta	Magnoliopsida
55	Oryza glaberrima	oglaberrima	eukaryotes	Streptophyta	Liliopsida
56	Helianthus annuus	hannuus	eukaryotes	Streptophyta	Magnoliopsida
57	Oryza punctata	opunctata	eukaryotes	Streptophyta	Liliopsida
58	Vitis vinifera	vvinifera	eukaryotes	Streptophyta	Magnoliopsida
59	Amborella trichopoda	atrichopoda	eukaryotes	Streptophyta	Magnoliopsida
60	Arabidopsis thaliana	athaliana	eukaryotes	Streptophyta	Magnoliopsida
61	Schizosaccharomyces octosporus	soctosporus	eukaryotes	Ascomycota	Schizosaccharomycetes
62	Cryptococcus neoformans	cneoformans	eukaryotes	Basidiomycota	Tremellomycetes
63	Schizosaccharomyces japonicus	sjaponicus	eukaryotes	Ascomycota	Schizosaccharomycetes
64	Magnaporthe oryzae	moryzae	eukaryotes	Ascomycota	Saccharomycetes
65	Fusarium fujikuroi	ffujikuroi	eukaryotes	Ascomycota	Saccharomycetes
66	Colletotrichum gloeosporioides	cgloeosporioides	eukaryotes	Ascomycota	Saccharomycetes
67	Komagataella pastoris	kpastoris	eukaryotes	Ascomycota	Saccharomycetes
68	Leptosphaeria maculans	lmaculans	eukaryotes	Ascomycota	Saccharomycetes
69	Saccharomyces cerevisiae	scerevisiae	eukaryotes	Ascomycota	Saccharomycetes
70	Neurospora crassa	ncrassa	eukaryotes	Ascomycota	Saccharomycetes
71	Schizosaccharomyces pombe	spombe	eukaryotes	Ascomycota	Schizosaccharomycetes
72	Aspergillus nidulans	anidulans	eukaryotes	Ascomycota	Saccharomycetes
73	Sporisorium reilianum	sreilianum	eukaryotes	Basidiomycota	Ustilaginomycetes
74	Puccinia graminis	pgraminis	eukaryotes	Basidiomycota	Pucciniomycetes
75	Beauveria bassiana	bbassiana	eukaryotes	Ascomycota	Saccharomycetes
76	Fusarium oxysporum	foxysporum	eukaryotes	Ascomycota	Saccharomycetes
77	Colletotrichum higginsianum	chigginsianum	eukaryotes	Ascomycota	Saccharomycetes
78	Solenopsis invicta	sinvicta	eukaryotes	Arthropoda	Insecta
79	Caenorhabditis elegans	celegans	eukaryotes	Nematoda	Chromadorea
80	Schistosoma mansoni	smansoni	eukaryotes	Platyhelminthes	Trematoda
81	Rhodnius prolixus	rprolixus	eukaryotes	Arthropoda	Insecta
82	Bombyx mori	bmori	eukaryotes	Arthropoda	Insecta
83	Loa loa	lloa	eukaryotes	Nematoda	Chromadorea
84	Crassostrea gigas	cgigas	eukaryotes	Bivalvia	Mollusca
85	Caenorhabditis briggsae	cbriggsae	eukaryotes	Chromadorea	Nematoda
86	Strongyloides ratti	sratti	eukaryotes	Chromadorea	Nematoda
87	Lepeophtheirus salmonis	lsalmonis	eukaryotes	Monjiviricetes	Negarnaviricota
88	Drosophila melanogaster	dmelanogaster	eukaryotes	Insecta	Arthropoda
89	Tribolium castaneum	tcastaneum	eukaryotes	Insecta	Arthropoda
90	Anopheles darlingi	adarlingi	eukaryotes	Insecta	Arthropoda
91	Anopheles gambiae	agambiae	eukaryotes	Insecta	Arthropoda
92	Pediculus humanus subsp. corporis	phumanus	eukaryotes	Insecta	Arthropoda
93	Escherichia coli K12		bacteria	Proteobacteria	Gammaproteobacteria
94	Salmonella typhimurium LT2 		bacteria	Proteobacteria	Gammaproteobacteria
95	Pseudomonas aeruginosa ATCC 15692 		bacteria	Proteobacteria	Gammaproteobacteria
96	Mycobacterium tuberculosis ATCC 25618 		bacteria	Actinobacteria	Actinobacteria
97	Bacillus subtilis 168		bacteria	Firmicutes	Bacilli
98	Yersinia pestis		bacteria	Proteobacteria	Gammaproteobacteria
99	Escherichia coli O157:H7		bacteria	Proteobacteria	Gammaproteobacteria
100	Shewanella oneidensis MR-1		bacteria	Proteobacteria	Gammaproteobacteria
101	Klebsiella pneumoniae subsp pneumoniae ATCC 700721 		bacteria	Proteobacteria	Gammaproteobacteria
102	Vibrio cholerae serotype O1 ATCC 39315 		bacteria	Proteobacteria	Gammaproteobacteria
103	Haemophilus influenzae ATCC 51907 		bacteria	Proteobacteria	Gammaproteobacteria
104	Trabulsiella guamensis ATCC 49490		bacteria	Proteobacteria	Gammaproteobacteria
105	Pantoea vagans C9-1 		bacteria	Proteobacteria	Gammaproteobacteria
106	Vibrio mangrovi		bacteria	Proteobacteria	Gammaproteobacteria
107	Erwinia gerundensis		bacteria	Proteobacteria	Gammaproteobacteria
108	Geobacter sulfurreducens ATCC 51573 		bacteria	Proteobacteria	Deltaproteobacteria
109	Paraburkholderia fynbosensis		bacteria	Proteobacteria	Betaproteobacteria
110	Pseudomonas syringae pv tomato ATCC BAA-871 		bacteria	Proteobacteria	Gammaproteobacteria
111	Xenorhabdus doucetiae		bacteria	Proteobacteria	Gammaproteobacteria
112	Pseudomonas fluorescens ATCC BAA-477 		bacteria	Proteobacteria	Gammaproteobacteria
113	Citrobacter koseri ATCC BAA-895 		bacteria	Proteobacteria	Gammaproteobacteria
114	Vibrio proteolyticus NBRC 13287		bacteria	Proteobacteria	Gammaproteobacteria
115	Halomonas elongata ATCC 33173 		bacteria	Proteobacteria	Gammaproteobacteria
116	Variovorax paradoxus		bacteria	Proteobacteria	Betaproteobacteria
117	Halomonas chromatireducens		bacteria	Proteobacteria	Gammaproteobacteria
118	Burkholderia multivorans ATCC 17616 		bacteria	Proteobacteria	Betaproteobacteria
119	Janthinobacterium sp KBS0711		bacteria	Proteobacteria	Betaproteobacteria
120	Pandoraea sputorum		bacteria	Proteobacteria	Betaproteobacteria
121	Streptococcus pneumoniae ATCC BAA-255 		bacteria	Firmicutes	Bacilli
122	Paraburkholderia ribeironis		bacteria	Proteobacteria	Betaproteobacteria
123	Achromobacter piechaudii ATCC 43553		bacteria	Proteobacteria	Betaproteobacteria
124	Pseudomonas resinovorans NBRC 106553		bacteria	Proteobacteria	Gammaproteobacteria
125	Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai 56601		bacteria	Spirochaetes	Spirochaetia
126	Paenibacillus polymyxa SC2 		bacteria	Firmicutes	Bacilli
127	Chromobacterium violaceum ATCC 12472 		bacteria	Proteobacteria	Betaproteobacteria
128	Vibrio astriarenae		bacteria	Proteobacteria	Gammaproteobacteria
129	Neorhizobium sp NCHU2750		bacteria	Proteobacteria	Alphaproteobacteria
130	Curvibacter sp AEP1-3		bacteria	Proteobacteria	Betaproteobacteria
131	Oceanobacillus oncorhynchi		bacteria	Firmicutes	Bacilli
132	Erwinia mallotivora		bacteria	Proteobacteria	Gammaproteobacteria
133	Polaromonas vacuolata		bacteria	Proteobacteria	Betaproteobacteria
134	Agrobacterium fabrum C58 		bacteria	Proteobacteria	Alphaproteobacteria
135	Streptomyces sp F-1		bacteria	Actinobacteria	Actinobacteria
136	Bacillus safensis		bacteria	Firmicutes	Bacilli
137	Bacillus anthracis		bacteria	Firmicutes	Bacilli
138	Clostridium botulinum Hall 		bacteria	Firmicutes	Clostridia
139	Streptomyces jeddahensis		bacteria	Actinobacteria	Actinobacteria
140	Palleronia abyssalis		bacteria	Proteobacteria	Alphaproteobacteria
141	Oceanibacterium hippocampi		bacteria	Proteobacteria	Alphaproteobacteria
142	Azospirillum lipoferum 4B		bacteria	Proteobacteria	Alphaproteobacteria
143	Streptomyces sp Go-475		bacteria	Actinobacteria	Actinobacteria
144	Ascidiaceihabitans donghaensis		bacteria	Proteobacteria	Alphaproteobacteria
145	Streptomyces avermitilis ATCC 31267 		bacteria	Actinobacteria	Actinobacteria
146	Streptomyces smaragdinus		bacteria	Actinobacteria	Actinobacteria
147	Tatumella morbirosei		bacteria	Proteobacteria	Gammaproteobacteria
148	Aquifex aeolicus VF5		bacteria	Aquificae	Aquificae
149	Pacificibacter marinus		bacteria	Proteobacteria	Alphaproteobacteria
150	Corallococcus coralloides ATCC 25202 		bacteria	Proteobacteria	Deltaproteobacteria
151	Actinomadura macrotermitis		bacteria	Actinobacteria	Actinobacteria
152	Vibrio furnissii		bacteria	Proteobacteria	Gammaproteobacteria
153	Mycolicibacterium tokaiense		bacteria	Actinobacteria	Actinobacteria
