	"species"	"abbreviation"
10319	"Glaucis hirsutus"	"ghirsutus"
10320	"Glaucidium jardinii"	"gjardinii"
10321	"Glarea lozoyensis"	"glozoyensis"
10322	"Glarea lozoyensis"	"glozoyensis"
10323	"Glarea lozoyensis"	"glozoyensis"
10324	"Glaucopsyche lygdamus"	"glygdamus"
10325	"Glaux maritima"	"gmaritima"
10326	"Glaucidium minutissimum"	"gminutissimum"
10327	"Glaucus marginatus"	"gmarginatus"
10328	"Gladiolus murielae"	"gmurielae"
10329	"Glaucidium nanum"	"gnanum"
10330	"Glaciecola nitratireducens"	"gnitratireducens"
10331	"Glareola nuchalis"	"gnuchalis"
10332	"Gladiolus papilio"	"gpapilio"
10333	"Glaucidium perlatum"	"gperlatum"
10334	"Glaucidium peruanum"	"gperuanum"
10335	"Glaucidium passerinum"	"gpasserinum"
10336	"Glareola pratincola"	"gpratincola"
10337	"Glaciecola sp."	"gsp."
10338	"Glaucomys sabrinus"	"gsabrinus"
10339	"Glaucomys sabrinus fuscus"	"gsabrinus"
10340	"Glaucidium tephronotum"	"gtephronotum"
10341	"Glaucidium tucumanum"	"gtucumanum"
10342	"Glaucostegus typus"	"gtypus"
10343	"Glaucomys volans"	"gvolans"
10344	"Glebionis coronaria"	"gcoronaria"
10345	"Glechoma hederacea"	"ghederacea"
10346	"Gleichenia japonica"	"gjaponica"
10347	"Glehnia littoralis"	"glittoralis"
10348	"Glebocarcinus oregonensis"	"goregonensis"
10349	"Gleditsia triacanthos"	"gtriacanthos"
10350	"Glis glis"	"gglis"
10351	"Glirulus japonicus"	"gjaponicus"
10352	"Gliricidia sepium"	"gsepium"
10353	"Glironia venusta"	"gvenusta"
10354	"Glomerella acutata"	"gacutata"
10355	"Glossina austeni"	"gausteni"
10356	"Gloeospermum blakeanum"	"gblakeanum"
10357	"Gloydius blomhoffii blomhoffii"	"gblomhoffii"
10358	"Gloydius blomhoffii"	"gblomhoffii"
10359	"Gloydius brevicaudus"	"gbrevicaudus"
10360	"Gloydius brevicaudus siniticus"	"gbrevicaudus"
10361	"Glossogobius callidus"	"gcallidus"
10362	"Glossogobius circumspectus"	"gcircumspectus"
10363	"Glossiphonia complanata"	"gcomplanata"
10364	"Glossophaga commissarisi"	"gcommissarisi"
10365	"Gloiopeltis complanata"	"gcomplanata"
10366	"Glossiphonia elegans"	"gelegans"
10367	"Glossina fuscipes fuscipes"	"gfuscipes"
10368	"Glossogobius giuris"	"ggiuris"
10369	"Gloydius halys"	"ghalys"
10370	"Gloydius intermedius"	"gintermedius"
10371	"Glomerella lagenarium"	"glagenarium"
10372	"Glossophaga leachii"	"gleachii"
10373	"Glossophaga longirostris"	"glongirostris"
10374	"Globicephala macrorhynchus"	"gmacrorhynchus"
10375	"Globicephala melas"	"gmelas"
10376	"Glossina morsitans morsitans"	"gmorsitans"
10377	"Glossophaga morenoi"	"gmorenoi"
10378	"Gloeothece membranacea"	"gmembranacea"
10379	"Glomeris marginata"	"gmarginata"
10380	"Glossogobius olivaceus"	"golivaceus"
10381	"Globodera pallida"	"gpallida"
10382	"Glossina pallidipes"	"gpallidipes"
10383	"Glossina palpalis palpalis"	"gpalpalis"
10384	"Globobulimina pseudospinescens"	"gpseudospinescens"
10385	"Gloeospermum pauciflorum"	"gpauciflorum"
10386	"Glottidia pyramidata"	"gpyramidata"
10387	"Globodera rostochiensis"	"grostochiensis"
10388	"Gloydius saxatilis"	"gsaxatilis"
10389	"Glossanodon semifasciatus"	"gsemifasciatus"
10390	"Gloydius shedaoensis"	"gshedaoensis"
10391	"Glossophaga soricina"	"gsoricina"
10392	"Gloeotilopsis sterilis"	"gsterilis"
10393	"Gloriosa superba"	"gsuperba"
10394	"Glossotherium sp."	"gsp."
10395	"Gloeophyllum trabeum"	"gtrabeum"
10396	"Gloeophyllum trabeum"	"gtrabeum"
10397	"Globisporangium ultimum"	"gultimum"
10398	"Globisporangium ultimum"	"gultimum"
10399	"Gloydius ussuriensis"	"gussuriensis"
10400	"Gloeobacter violaceus"	"gviolaceus"
10401	"Grapevine leafroll-associated virus 3"	"gleafroll-associated"
10402	"Grapevine leafroll-associated virus 7"	"gleafroll-associated"
10403	"Glugea americanus"	"gamericanus"
10404	"Glutamicibacter arilaitensis"	"garilaitensis"
10405	"Gluconacetobacter diazotrophicus"	"gdiazotrophicus"
10406	"Gluconacetobacter diazotrophicus"	"gdiazotrophicus"
10407	"Glutophrissa drusilla"	"gdrusilla"
10408	"Gluconobacter japonicus"	"gjaponicus"
10409	"Gluconacetobacter liquefaciens"	"gliquefaciens"
10410	"Glutamicibacter nicotianae"	"gnicotianae"
10411	"Gluconobacter oxydans"	"goxydans"
10412	"Gluconobacter oxydans"	"goxydans"
10413	"Gluconacetobacter polyoxogenes"	"gpolyoxogenes"
10414	"Gluconobacter thailandicus"	"gthailandicus"
10415	"Giardia lamblia virus"	"glamblia"
10416	"Glyptotendipes barbipes"	"gbarbipes"
10417	"Glyptothorax brevipinnis"	"gbrevipinnis"
10418	"Glycine canescens"	"gcanescens"
10419	"Glyptolithodes cristatipes"	"gcristatipes"
10420	"Glyptocephalus cynoglossus"	"gcynoglossus"
10421	"Glyphonycteris daviesi"	"gdaviesi"
10422	"Glyceria declinata"	"gdeclinata"
10423	"Glycera dibranchiata"	"gdibranchiata"
10424	"Glycyphagus domesticus"	"gdomesticus"
10425	"Glycyrrhiza echinata"	"gechinata"
10426	"Glyceria fluitans"	"gfluitans"
10427	"Glyptothorax fokiensis"	"gfokiensis"
10428	"Glyptothorax granulus"	"ggranulus"
10429	"Glyphis garricki"	"ggarricki"
10430	"Glycyrrhiza glabra"	"gglabra"
10431	"Glyceria grandis"	"ggrandis"
10432	"Glyphis glyphis"	"gglyphis"
10433	"Glyptapanteles indiensis"	"gindiensis"
10434	"Glyptosternon maculatum"	"gmaculatum"
10435	"Glyptemys muhlenbergii"	"gmuhlenbergii"
10436	"Glyptothorax ngapang"	"gngapang"
10437	"Glyphidohaptor plectocirra"	"gplectocirra"
10438	"Glyphodes pyloalis"	"gpyloalis"
10439	"Glyphodes quadrimaculalis"	"gquadrimaculalis"
10440	"Glyptotendipes salinus"	"gsalinus"
10441	"Glyphotes simus"	"gsimus"
10442	"Glycine soja"	"gsoja"
10443	"Glyceria striata"	"gstriata"
10444	"Glyptodon sp."	"gsp."
10445	"Glyphonycteris sylvestris"	"gsylvestris"
10446	"Glycine tabacina"	"gtabacina"
10447	"Glycine tomentella"	"gtomentella"
10448	"Glyptothorax trilineatus"	"gtrilineatus"
10449	"Glycyrrhiza uralensis"	"guralensis"
10450	"Glyptocephalus zachirus"	"gzachirus"
10451	"Galleria mellonella densovirus"	"gmellonella"
10452	"Gmelina arborea"	"garborea"
10453	"Gmelina hainanensis"	"ghainanensis"
10454	"Gmelina philippensis"	"gphilippensis"
10455	"Gnathophyllum americanum"	"gamericanum"
10456	"Gnaphosa borea"	"gborea"
10457	"Gnathopogon caerulescens"	"gcaerulescens"
10458	"Gnaphosa parvula"	"gparvula"
10459	"Gnetum gnemon"	"ggnemon"
10460	"Gnetum parvifolium"	"gparvifolium"
10461	"Gnorimopsar chopi"	"gchopi"
10462	"Gobiosoma bosc"	"gbosc"
10463	"Gobiomorphus breviceps"	"gbreviceps"
10464	"Gobiomorphus cotidianus"	"gcotidianus"
10465	"Gobionotothen gibberifrons"	"ggibberifrons"
10466	"Gobiodon histrio"	"ghistrio"
10467	"Gobiopterus lacustris"	"glacustris"
10468	"Gobius niger"	"gniger"
10469	"Gobiodon quinquestrigatus"	"gquinquestrigatus"
10470	"Goose circovirus"	"gcircovirus"
10471	"Goera calcarata"	"gcalcarata"
10472	"Goetzea elegans"	"gelegans"
10473	"Goera fuscula"	"gfuscula"
10474	"Alethinophid 1 reptarenavirus"	"a1"
10475	"Golfingia vulgaris"	"gvulgaris"
10476	"Gomphus adelphus"	"gadelphus"
10477	"Gomphrena globosa"	"gglobosa"
10478	"Gomphrena haageana"	"ghaageana"
10479	"Gomphiocephalus hodgsoni"	"ghodgsoni"
10480	"Gomphrena pulchella"	"gpulchella"
10481	"Gomphosus varius"	"gvarius"
10482	"Gonatodes albogularis"	"galbogularis"
10483	"Gondogeneia antarctica"	"gantarctica"
10484	"Gonostoma atlanticum"	"gatlanticum"
10485	"Gonatopsis borealis"	"gborealis"
10486	"Gonionotophis brussauxi"	"gbrussauxi"
10487	"Gonodactylus chiragra"	"gchiragra"
10488	"Gonepteryx cleopatra"	"gcleopatra"
10489	"Gongylus gongylodes"	"ggongylodes"
10490	"Gonioctena intermedia"	"gintermedia"
10491	"Gonioctena interposita"	"ginterposita"
10492	"Gonioctena linnaeana"	"glinnaeana"
10493	"Gonatozygon monotaenium"	"gmonotaenium"
10494	"Goniodoris nodosa"	"gnodosa"
10495	"Gonioctena olivacea"	"golivacea"
10496	"Gonatus onyx"	"gonyx"
10497	"Gonioctena pallida"	"gpallida"
10498	"Gonium pectorale"	"gpectorale"
10499	"Gonapodya prolifera"	"gprolifera"
10500	"Gonionotophis poensis"	"gpoensis"
10501	"Gonapodya prolifera"	"gprolifera"
10502	"Goniastrea retiformis"	"gretiformis"
10503	"Gonepteryx rhamni"	"grhamni"
10504	"Goneplax rhomboides"	"grhomboides"
10505	"Gonionotophis stenophthalmus"	"gstenophthalmus"
10506	"Goniopora tenuidens"	"gtenuidens"
10507	"Gonionotophis unicolor"	"gunicolor"
10508	"Gonatodes vittatus"	"gvittatus"
10509	"Gonioctena viminalis"	"gviminalis"
10510	"Goodenia ovata"	"govata"
10511	"Goodyera pubescens"	"gpubescens"
10512	"Gopherus polyphemus"	"gpolyphemus"
10513	"Gordius aquaticus"	"gaquaticus"
10514	"Gordonia bronchialis"	"gbronchialis"
10515	"Gorilla gorilla beringei"	"ggorilla"
10516	"Gorsachius goisagi"	"ggoisagi"
10517	"Gorilla gorilla gorilla"	"ggorilla"
10518	"Gordonia lasianthus"	"glasianthus"
10519	"Gorsachius magnificus"	"gmagnificus"
10520	"Gorsachius melanolophus"	"gmelanolophus"
10521	"Gordonia polyisoprenivorans"	"gpolyisoprenivorans"
10522	"Gordonia rubripertincta"	"grubripertincta"
10523	"Gordonia sp."	"gsp."
10524	"Gorgonia ventalina"	"gventalina"
10525	"Gossypium aridum"	"garidum"
10526	"Gossypium arboreum"	"garboreum"
10527	"Gossypium barbadense"	"gbarbadense"
10528	"Gossypium darwinii"	"gdarwinii"
10529	"Gossypium davidsonii"	"gdavidsonii"
10530	"Gossypium gossypioides"	"ggossypioides"
10531	"Gossypium herbaceum"	"gherbaceum"
10532	"Gossypium hirsutum"	"ghirsutum"
10533	"Gossypium mustelinum"	"gmustelinum"
10534	"Gossypium raimondii"	"graimondii"
10535	"Gossypium schwendimanii"	"gschwendimanii"
10536	"Gossypium sturtianum"	"gsturtianum"
10537	"Gossypium thurberi"	"gthurberi"
10538	"Gossypium tomentosum"	"gtomentosum"
10539	"Gossypium turneri"	"gturneri"
10540	"Goura cristata"	"gcristata"
10541	"Goura victoria"	"gvictoria"
10542	"Gowidon longirostris"	"glongirostris"
10543	"Gowidon temporalis"	"gtemporalis"
10544	"Guinea pig cytomegalovirus"	"gpig"
10545	"Gracilinanus aceramarcae"	"gaceramarcae"
10546	"Gracilinanus agilis"	"gagilis"
10547	"Grandisonia alternans"	"galternans"
10548	"Granulibacter bethesdensis"	"gbethesdensis"
10549	"Gratiola brevifolia"	"gbrevifolia"
10550	"Gracilaria bursa-pastoris"	"gbursa-pastoris"
10551	"Grahamia bracteata"	"gbracteata"
10552	"Graphocephala coccinea"	"gcoccinea"
10553	"Gracilaria chilensis"	"gchilensis"
10554	"Grammomys dolichurus"	"gdolichurus"
10555	"Graomys domorum"	"gdomorum"
10556	"Graptacme eborea"	"geborea"
10557	"Gracilinanus emiliae"	"gemiliae"
10558	"Gramella forsetii"	"gforsetii"
10559	"Gracilaria gracilis"	"ggracilis"
10560	"Graptemys geographica"	"ggeographica"
10561	"Graomys griseoflavus"	"ggriseoflavus"
10562	"Grampus griseus"	"ggriseus"
10563	"Grammostola iheringi"	"giheringi"
10564	"Grandidierella japonica"	"gjaponica"
10565	"Graphiurus kelleni"	"gkelleni"
10566	"Gracilariopsis lemaneiformis"	"glemaneiformis"
10567	"Graphiurus lorraineus"	"glorraineus"
10568	"Grammomys macmillani"	"gmacmillani"
10569	"Graphiurus microtis"	"gmicrotis"
10570	"Gracilinanus microtarsus"	"gmicrotarsus"
10571	"Granulicella mallensis"	"gmallensis"
10572	"Grapholita molesta"	"gmolesta"
10573	"Grania maricola"	"gmaricola"
10574	"Graphiurus murinus"	"gmurinus"
10575	"Gratiola neglecta"	"gneglecta"
10576	"Graminella nigrifrons"	"gnigrifrons"
10577	"Gracililima nyassae"	"gnyassae"
10578	"Graphiurus ocularis"	"gocularis"
10579	"Gratiola officinalis"	"gofficinalis"
10580	"Grayia ornata"	"gornata"
10581	"Grammostola pulchra"	"gpulchra"
10582	"Graphoderus perplexus"	"gperplexus"
10583	"Gratiola pilosa"	"gpilosa"
10584	"Graphiurus platyops"	"gplatyops"
10585	"Grammostola porteri"	"gporteri"
10586	"Grammia parthenice"	"gparthenice"
10587	"Grania pusilla"	"gpusilla"
10588	"Grallaria ridgelyi"	"gridgelyi"
10589	"Grammostola rosea"	"grosea"
10590	"Graphosoma rubrolineatum"	"grubrolineatum"
10591	"Grammatophyllum speciosum"	"gspeciosum"
10592	"Grayia spinosa"	"gspinosa"
10593	"Gradungula sorenseni"	"gsorenseni"
10594	"Grammistes sexlineatus"	"gsexlineatus"
10595	"Gracilaria tikvahiae"	"gtikvahiae"
10596	"Gracilaria tenuistipitata var. liui"	"gtenuistipitata"
10597	"Granulicella tundricola"	"gtundricola"
10598	"Graecoanatolica vegorriticola"	"gvegorriticola"
10599	"Grammia virguncula"	"gvirguncula"
10600	"Gratiola virginiana"	"gvirginiana"
10601	"Grammia virgo"	"gvirgo"
10602	"Grammia williamsii"	"gwilliamsii"
10603	"Greta annette"	"gannette"
10604	"Grevillea aquifolium"	"gaquifolium"
10605	"Grevillea banksii"	"gbanksii"
10606	"Grewia bicolor"	"gbicolor"
10607	"Grevillea caleyi"	"gcaleyi"
10608	"Grewia flavescens"	"gflavescens"
10609	"Gregarina niphandrodes"	"gniphandrodes"
10610	"Greya obscura"	"gobscura"
10611	"Grewia occidentalis"	"goccidentalis"
10612	"Greta oto"	"goto"
10613	"Greta polissena"	"gpolissena"
10614	"Gregarina polymorpha"	"gpolymorpha"
10615	"Greyia radlkoferi"	"gradlkoferi"
10616	"Greenmaniella resinosa"	"gresinosa"
10617	"Grevillea robusta"	"grobusta"
10618	"Grevillea repens"	"grepens"
10619	"Grewia villosa"	"gvillosa"
10620	"Grillotia erinaceus"	"gerinaceus"
10621	"Grifola frondosa"	"gfrondosa"
10622	"Grimontia hollisae"	"ghollisae"
10623	"Griffinia hyacinthina"	"ghyacinthina"
10624	"Griffithsia japonica"	"gjaponica"
10625	"Griffithsia monilis"	"gmonilis"
10626	"Griffithsia pacifica"	"gpacifica"
10627	"Griffonia simplicifolia"	"gsimplicifolia"
10628	"Griffithsia sp."	"gsp."
10629	"Grosmannia clavigera"	"gclavigera"
10630	"Gromphadorhina grandidieri"	"ggrandidieri"
10631	"Gromphadorhina laevigata"	"glaevigata"
10632	"Gromia oviformis"	"goviformis"
10633	"Gromphadorhina portentosa"	"gportentosa"
10634	"Grus americana"	"gamericana"
10635	"Grus grus"	"ggrus"
10636	"Grus japonensis"	"gjaponensis"
10637	"Grus monacha"	"gmonacha"
10638	"Grus nigricollis"	"gnigricollis"
10639	"Groundnut rosette virus"	"grosette"
10640	"Gryllus assimilis"	"gassimilis"
10641	"Gryllus bimaculatus"	"gbimaculatus"
10642	"Gryllus firmus"	"gfirmus"
10643	"Gryllotalpa orientalis"	"gorientalis"
10644	"Gryllus pennsylvanicus"	"gpennsylvanicus"
10645	"Gryllotalpa pluvialis"	"gpluvialis"
10646	"Gryllus rubens"	"grubens"
10647	"Gryllotalpa unispina"	"gunispina"
10648	"Ground squirrel hepatitis virus"	"gsquirrel"
10649	"Gloriosa stripe mosaic virus"	"gstripe"
10650	"Guanarito mammarenavirus"	"gmammarenavirus"
10651	"Guatteria aeruginosa"	"gaeruginosa"
10652	"Guarianthe aurantiaca"	"gaurantiaca"
10653	"Guatteria dumetorum"	"gdumetorum"
10654	"Guaruba guarouba"	"gguarouba"
10655	"Guarianthe patinii"	"gpatinii"
10656	"Guardiola tulocarpus"	"gtulocarpus"
10657	"Gudusia chapra"	"gchapra"
10658	"Guettarda speciosa"	"gspeciosa"
10659	"Guizotia abyssinica"	"gabyssinica"
10660	"Guilandina bonduc"	"gbonduc"
10661	"Guira guira"	"gguira"
10662	"Guillardia theta"	"gtheta"
10663	"Guillardia theta"	"gtheta"
10664	"Gulo gulo"	"ggulo"
10665	"Gunnarea capensis"	"gcapensis"
10666	"Gunnera chilensis"	"gchilensis"
10667	"Guttera pucherani"	"gpucherani"
10668	"Grapevine virus A"	"gvirus"
10669	"Adoxophyes orana granulovirus"	"aorana"
10670	"Agrotis segetum granulosis virus"	"asegetum"
10671	"Choristoneura fumiferana granulovirus"	"cfumiferana"
10672	"Cryptophlebia leucotreta granulosis virus"	"cleucotreta"
10673	"Cydia pomonella granulosis virus"	"cpomonella"
10674	"Cydia pomonella granulosis virus"	"cpomonella"
10675	"Heliothis armigera granulosis virus"	"harmigera"
10676	"Harrisina brillians granulovirus"	"hbrillians"
10677	"Lacanobia oleracea granulosis virus"	"loleracea"
10678	"Pieris brassicae granulosis virus"	"pbrassicae"
10679	"Pseudalatia unipuncta granulosis virus"	"punipuncta"
10680	"Trichoplusia ni granulosis virus"	"tni"
10681	"Xestia c-nigrum granulosis virus"	"xc-nigrum"
10682	"Gymnodraco acuticeps"	"gacuticeps"
10683	"Gymnophaps albertisii"	"galbertisii"
10684	"Gymnanthemum amygdalinum"	"gamygdalinum"
10685	"Gymnogyps californianus"	"gcalifornianus"
10686	"Gymnocephalus cernuus"	"gcernuus"
10687	"Gymnocladus chinensis"	"gchinensis"
10688	"Gymnadenia conopsea"	"gconopsea"
10689	"Gymnorhinus cyanocephalus"	"gcyanocephalus"
10690	"Gymnocladus dioicus"	"gdioicus"
10691	"Gymnothorax flavimarginatus"	"gflavimarginatus"
10692	"Gymnogeophagus gymnogenys"	"ggymnogenys"
10693	"Gymnodinium instriatum"	"ginstriatum"
10694	"Gymnothorax kidako"	"gkidako"
10695	"Gymnobelideus leadbeateri"	"gleadbeateri"
10696	"Gymnophthalmus leucomystax"	"gleucomystax"
10697	"Gymnomystax mexicanus"	"gmexicanus"
10698	"Gymnothorax moringa"	"gmoringa"
10699	"Gymnanthemum mespilifolium"	"gmespilifolium"
10700	"Gymnopis multiplicata"	"gmultiplicata"
10701	"Gymnarchus niloticus"	"gniloticus"
10702	"Gymnadenia odoratissima"	"godoratissima"
10703	"Gymnura poecilura"	"gpoecilura"
10704	"Gymnuromys roberti"	"groberti"
10705	"Gymnodinium simplex"	"gsimplex"
10706	"Gymnochlora stellata"	"gstellata"
10707	"Gymnema sylvestre"	"gsylvestre"
10708	"Gymnorhina tibicen"	"gtibicen"
10709	"Gymnosarda unicolor"	"gunicolor"
10710	"Gymnothorax unicolor"	"gunicolor"
10711	"Gyna cf. cafforum"	"gcf."
10712	"Gynaikothrips ficorum"	"gficorum"
10713	"Gyna lurida"	"glurida"
10714	"Gynostemma pentaphyllum"	"gpentaphyllum"
10715	"Gypaetus barbatus"	"gbarbatus"
10716	"Gyps bengalensis"	"gbengalensis"
10717	"Gyps coprotheres"	"gcoprotheres"
10718	"Gyptis propinqua"	"gpropinqua"
10719	"Gyps rueppellii"	"grueppellii"
10720	"Gyrodactylus arcuatus"	"garcuatus"
10721	"Gyrinus minutus"	"gminutus"
10722	"Gyrodactylus salaris"	"gsalaris"
10723	"Habronattus amicus"	"hamicus"
10724	"Habronattus altanus"	"haltanus"
10725	"Habronattus americanus"	"hamericanus"
10726	"Habroscelimorpha californica"	"hcalifornica"
10727	"Habrotrocha constricta"	"hconstricta"
10728	"Habronattus decorus"	"hdecorus"
10729	"Habromys ixtlani"	"hixtlani"
10730	"Habromys lepturus"	"hlepturus"
10731	"Habromys lophurus"	"hlophurus"
10732	"Habronattus oregonensis"	"horegonensis"
10733	"Habronattus pugillis"	"hpugillis"
10734	"Habenaria repens"	"hrepens"
10735	"Habia rubica"	"hrubica"
10736	"Habronattus signatus"	"hsignatus"
10737	"Habromys simulatus"	"hsimulatus"
10738	"Hablitzia tamnoides"	"htamnoides"
10739	"Habronattus ustulatus"	"hustulatus"
10740	"Habronattus viridipes"	"hviridipes"
10741	"Hadrurus arizonensis"	"harizonensis"
10742	"Hadronyche cerberea"	"hcerberea"
10743	"Hadronyche formidabilis"	"hformidabilis"
10744	"Hadronyche infensa"	"hinfensa"
10745	"Hadronyche modesta"	"hmodesta"
10746	"Hadronyche valida"	"hvalida"
10747	"Hadronyche versuta"	"hversuta"
10748	"Hadronyche venenata"	"hvenenata"
10749	"Hadesarchaea archaeon"	"harchaeon"
10750	"Haemophilus aegyptius"	"haegyptius"
10751	"Haematopus bachmani"	"hbachmani"
10752	"Haemorhous cassinii"	"hcassinii"
10753	"Haemoproteus columbae"	"hcolumbae"
10754	"Haemaphysalis concinna"	"hconcinna"
10755	"Haemonchus contortus"	"hcontortus"
10756	"Haemophilus ducreyi"	"hducreyi"
10757	"Haementeria depressa"	"hdepressa"
10758	"Haemophilus ducreyi"	"hducreyi"
10759	"Haemagogus equinus"	"hequinus"
10760	"Haemaphysalis flava"	"hflava"
10761	"Haemulon flavolineatum"	"hflavolineatum"
10762	"Haemaphysalis formosensis"	"hformosensis"
10763	"Haementeria ghilianii"	"hghilianii"
10764	"Haemophilus haemolyticus"	"hhaemolyticus"
10765	"Haemophilus influenzae"	"hinfluenzae"
10766	"Haemophilus influenzae"	"hinfluenzae"
10767	"Haemophilus influenzae"	"hinfluenzae"
10768	"Haemophilus influenzae"	"hinfluenzae"
10769	"Haemophilus influenzae"	"hinfluenzae"
10770	"Haemophilus influenzae"	"hinfluenzae"
10771	"Haemophilus influenzae"	"hinfluenzae"
10772	"Haemophilus influenzae"	"hinfluenzae"
10773	"Haemophilus influenzae"	"hinfluenzae"
10774	"Haematobia irritans"	"hirritans"
10775	"Haematobia irritans exigua"	"hirritans"
10776	"Haemoproteus kopki"	"hkopki"
10777	"Haematococcus lacustris"	"hlacustris"
10778	"Haemaphysalis longicornis"	"hlongicornis"
10779	"Haemopis marmorata"	"hmarmorata"
10780	"Haemorhous mexicanus"	"hmexicanus"
10781	"Haemoproteus majoris"	"hmajoris"
10782	"Haemaphysalis obesa"	"hobesa"
10783	"Haementeria officinalis"	"hofficinalis"
10784	"Haematopus ostralegus"	"hostralegus"
10785	"Haemophilus parainfluenzae"	"hparainfluenzae"
10786	"Haemophilus parainfluenzae"	"hparainfluenzae"
10787	"Haemaphysalis parva"	"hparva"
10788	"Haemonchus placei"	"hplacei"
10789	"Haemophilus parahaemolyticus"	"hparahaemolyticus"
10790	"Haematopus palliatus"	"hpalliatus"
10791	"Haemorhous purpureus"	"hpurpureus"
10792	"Haemophilus parasuis"	"hparasuis"
10793	"Haemophilus parasuis serovar 5"	"hparasuis"
10794	"Haemoproteus ptyodactylii"	"hptyodactylii"
10795	"Haematopota pluvialis"	"hpluvialis"
10796	"Heliothis armigera entomopoxvirus"	"harmigera"
10797	"Haemophilus somnus"	"hsomnus"
10798	"Haemulon sciurus"	"hsciurus"
10799	"Haemodorum simulans"	"hsimulans"
10800	"Haemaphysalis spinigera"	"hspinigera"
10801	"Haemoproteus sylvae"	"hsylvae"
10802	"Hafnia alvei"	"halvei"
10803	"Hagenius brevistylus"	"hbrevistylus"
10804	"Hahella chejuensis"	"hchejuensis"
10805	"Halobacillus andaensis"	"handaensis"
10806	"Halobacillus aidingensis"	"haidingensis"
10807	"Halomonas anticariensis"	"hanticariensis"
10808	"Haliotis asinina"	"hasinina"
10809	"Haliaeetus albicilla"	"halbicilla"
10810	"Haliclystus antarcticus"	"hantarcticus"
10811	"Haloarcula argentinensis"	"hargentinensis"
10812	"Halobacterium sp."	"hsp."
10813	"Halocynthia aurantium"	"haurantium"
10814	"Halichondria bowerbanki"	"hbowerbanki"
10815	"Halogeometricum borinquense"	"hborinquense"
10816	"Halosydna brevisetosa"	"hbrevisetosa"
10817	"Halorubrum chaoviator"	"hchaoviator"
10818	"Halobaena caerulea"	"hcaerulea"
10819	"Haliclona caerulea"	"hcaerulea"
10820	"Halcurias carlgreni"	"hcarlgreni"
10821	"Halichoeres chrysus"	"hchrysus"
10822	"Halesia carolina"	"hcarolina"
10823	"Halcyon coromanda"	"hcoromanda"
10824	"Haliotis corrugata"	"hcorrugata"
10825	"Haliotis cracherodii"	"hcracherodii"
10826	"Halobacillus dabanensis"	"hdabanensis"
10827	"Halobatrachus didactylus"	"hdidactylus"
10828	"Haliotis discus hannai"	"hdiscus"
10829	"Haliotis discus"	"hdiscus"
10830	"Halococcus dombrowskii"	"hdombrowskii"
10831	"Halesia diptera"	"hdiptera"
10832	"Halomonhystera disjuncta"	"hdisjuncta"
10833	"Haliotis diversicolor"	"hdiversicolor"
10834	"Halomonas elongata"	"helongata"
10835	"Halomonas elongata"	"helongata"
10836	"Halomonas eurihalina"	"heurihalina"
10837	"Halophilic eubacterium NRCC 41227"	"heubacterium"
10838	"Haludaria fasciata"	"hfasciata"
10839	"Halozetes fulvus"	"hfulvus"
10840	"Haliotis fulgens"	"hfulgens"
10841	"Halicampus grayi"	"hgrayi"
10842	"Haloferax gibbonsii"	"hgibbonsii"
10843	"Haloferax gibbonsii"	"hgibbonsii"
10844	"Halteria grandinella"	"hgrandinella"
10845	"Halichoeres garnoti"	"hgarnoti"
10846	"Halichoerus grypus"	"hgrypus"
10847	"Haliscomenobacter hydrossis"	"hhydrossis"
10848	"Halomonas halodenitrificans"	"hhalodenitrificans"
10849	"Halobacillus halophilus"	"hhalophilus"
10850	"Halorhodospira halophila"	"hhalophila"
10851	"Halobacteroides halobius"	"hhalobius"
10852	"Halomonas halodenitrificans"	"hhalodenitrificans"
10853	"Halanaerobium hydrogeniformans"	"hhydrogeniformans"
10854	"Haloarcula hispanica"	"hhispanica"
10855	"Halorhodospira halophila"	"hhalophila"
10856	"Halobacterium halobium"	"hhalobium"
10857	"Halobacillus halophilus"	"hhalophilus"
10858	"Halobacterium halobium"	"hhalobium"
10859	"Halorhodospira halochloris"	"hhalochloris"
10860	"Halobacterium halobium"	"hhalobium"
10861	"Haloarcula hispanica"	"hhispanica"
10862	"Halyomorpha halys"	"hhalys"
10863	"Haliastur indus"	"hindus"
10864	"Haliotis iris"	"hiris"
10865	"Halichondria japonica"	"hjaponica"
10866	"Halalkalicoccus jeotgali"	"hjeotgali"
10867	"Halargyreus johnsonii"	"hjohnsonii"
10868	"Haloarcula japonica"	"hjaponica"
10869	"Haliotis kamtschatkana"	"hkamtschatkana"
10870	"Haloferax lucentense"	"hlucentense"
10871	"Haliotis laevigata"	"hlaevigata"
10872	"Halleria lucida"	"hlucida"
10873	"Haliaeetus leucocephalus"	"hleucocephalus"
10874	"Halictus ligatus"	"hligatus"
10875	"Halorubrum lacusprofundi"	"hlacusprofundi"
10876	"Haliaeetus leucoryphus"	"hleucoryphus"
10877	"Haloarcula marismortui"	"hmarismortui"
10878	"Halichoeres maculipinna"	"hmaculipinna"
10879	"Halomicrobium mukohataei"	"hmukohataei"
10880	"Haloferax mediterranei"	"hmediterranei"
10881	"Haliotis madaka"	"hmadaka"
10882	"Halcyon malimbica"	"hmalimbica"
10883	"Halococcus morrhuae"	"hmorrhuae"
10884	"Halobacteriovorax marinus"	"hmarinus"
